label,flex_thumb,flex_index,flex_middle,flex_ring,flex_pinky,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,hand
U,503.95,196.44,191.53,793.71,798.6,0.2531,9.674,1.026,0.0013,0.0278,0.0185,right
A,674.14,819.11,782.46,808.41,835.38,0.0407,9.9066,0.6486,-0.0276,-0.0278,0.0323,left
W,528.95,193.86,185.96,196.94,817.37,0.0258,9.1386,1.3899,0.0749,-0.0367,0.0453,left
B,758.53,201.62,178.48,206.28,190.68,-0.1756,9.9565,-0.1199,0.0284,0.023,0.1026,left
W,505.38,217.49,230.72,197.84,779.83,-0.3581,9.4595,1.5407,0.0149,0.0582,-0.011,left
X,502.09,510.38,805.41,804.53,792.96,0.4585,9.4429,1.0096,0.0654,0.0566,0.0013,right
L,162.64,209.04,803.84,800.17,786.64,0.2299,8.2985,4.9916,0.047,0.0222,-0.005,right
L,210.85,189.19,789.26,799.44,818.71,-0.5325,7.9493,5.1398,0.0662,-0.0073,0.0384,left
V,515.58,187.81,175.61,816.2,804.89,-0.4569,9.1492,2.4074,0.0862,-0.0254,-0.0726,left
W,501.89,210.45,200.72,207.24,802.05,0.4383,9.5336,1.5029,0.0121,-0.0072,0.0082,right
Q,492.09,167.96,808.09,813.71,821.98,2.9835,5.666,7.0277,-0.0921,-0.009,-0.0297,right
W,505.43,195.69,219.25,214.14,769.93,-0.4797,9.0872,1.4543,-0.0585,-0.0929,-0.0198,left
O,580.44,575.15,557.87,564.14,570.68,0.0663,9.0691,2.952,-0.0196,-0.0127,-0.0234,right
R,485.12,207.68,255.77,807.58,793.02,-0.1589,9.5662,2.0102,-0.0362,-0.0323,-0.0121,left
Y,182.31,813.54,800.74,790.95,181.62,-0.236,8.9562,4.0693,-0.0135,-0.0445,-0.0184,left
G,503.68,186.16,815.58,793.82,806.96,-5.0521,4.9798,5.9743,-0.0327,0.0367,-0.0043,left
G,524.8,208.59,787.2,821.07,774.59,-5.1933,4.7837,5.9869,0.0409,0.0406,0.0645,left
N,681.77,797.04,802.78,789.08,779.56,-0.4386,9.7322,0.8592,-0.0696,-0.0382,0.0252,left
A,690.66,825.02,795.53,792.89,799.66,-0.3033,9.496,0.4002,-0.0016,-0.0208,0.0211,left
G,511.76,228.83,812.74,807.79,816.35,5.3409,5.0797,6.0418,0.0216,0.0183,0.0198,right
E,616.46,669.69,680.08,675.59,666.21,0.0741,9.5037,0.8339,0.024,-0.032,-0.0165,right
Q,489.66,190.01,800.5,794.01,804.32,-2.9907,5.5266,6.8724,0.0184,0.0477,-0.058,left
R,500.84,199.93,247.46,804.34,777.72,0.4644,9.4027,1.7404,-0.0108,-0.0099,-0.0359,right
V,508.12,220.11,200.57,783.44,773.97,0.6068,8.9248,2.5346,0.0135,0.0119,0.0205,right
S,761.31,811.61,768.46,810.99,787.7,0.054,9.7701,0.5668,-0.0448,-0.0686,0.0469,right
S,739.09,815.64,791.35,783.35,781.17,-0.034,10.1956,0.0404,0.1254,0.0406,-0.0503,right
F,375.78,752.81,171.4,217.51,187.82,0.5845,9.2001,2.1093,0.0496,-0.0506,0.0419,right
P,497.81,201.41,488.35,785.4,810.99,2.9453,4.9883,7.534,0.0317,0.0132,0.1169,right
E,586.93,667.38,667.56,687.25,672.78,-0.27,9.5957,0.843,0.0385,0.0182,0.1195,left
Y,183.37,791.09,793.75,798.67,202.85,-0.0423,8.8945,3.9857,0.1023,0.013,-0.0145,right
X,497.16,501.93,798.59,801.28,804.39,-0.3937,9.2483,1.7339,0.0213,-0.0116,0.0253,left
A,668.17,805.63,792.35,806.32,826.07,-0.2662,9.9606,0.4636,-0.0383,0.1214,0.0078,left
D,510.34,207.52,791.08,792.33,769.27,-0.2258,9.5815,1.5312,-0.1067,0.0307,-0.0846,left
A,679.3,823.55,834.19,800.36,776.78,0.0428,9.6887,0.2767,-0.0125,0.0143,-0.023,right
G,514.37,194.54,824.47,795.69,793.74,-5.1594,5.0092,6.0448,-0.0404,-0.0105,-0.0243,left
Q,498.42,208.91,788.13,788.93,798.87,-3.0624,5.3206,7.0897,-0.0225,0.0138,0.0392,left
Z,492.97,209.57,810.52,789.91,810.6,-0.4181,9.1887,2.1036,2.5286,1.43,0.9553,left
E,613.77,675.36,675.75,693.55,673.79,0.0317,9.8433,0.7269,0.0091,-0.0302,-0.0051,left
B,735.14,195.88,178.42,255.22,196.44,-0.1797,9.8336,-0.0773,0.1198,0.0599,-0.0342,right
Z,496.98,176.09,780.53,825.42,786.27,-0.4246,8.9152,1.7087,2.548,1.5367,0.9627,left
H,512.17,215.97,186.38,788.06,789.04,4.8455,5.2265,5.346,-0.0695,0.0154,-0.0143,right
C,493.31,504.16,477.41,512.69,482.04,-0.3578,8.6717,3.7515,-0.005,-0.0047,0.0161,left
O,574.85,567.98,566.35,574.83,578.97,0.0671,8.7052,2.9298,0.0458,-0.0407,-0.0636,left
A,685.42,808.52,812.8,793.72,784.31,0.2211,9.7252,0.4393,0.097,0.0329,0.0158,right
T,584.3,806.1,775.5,814.78,776.44,0.241,9.3478,0.6249,0.0093,0.0153,0.0572,right
U,521.47,219.07,196.97,792.99,803.34,-0.2418,9.6662,0.8936,0.0275,0.0471,0.0879,left
H,480.15,183.96,204.84,781.22,809.11,5.175,5.1293,5.4845,-0.0102,-0.0662,-0.0072,right
P,490.18,184.02,520.01,796.83,793.58,2.8335,4.9794,7.5764,0.0336,-0.0306,-0.0055,right
R,492.33,164.18,283.15,790.87,820.6,-0.2895,9.3074,1.7494,-0.1606,-0.0804,0.0223,left
R,493.88,193.22,238.62,797.81,775.66,0.4479,9.4528,1.9197,-0.0054,-0.0063,-0.0277,right
T,631.26,786.75,815.36,799.14,816.48,0.1869,9.7077,0.4305,0.0259,0.0059,-0.0416,right
T,633.83,825.27,818.94,822.88,805.98,-0.1558,9.4261,0.4974,-0.0409,-0.0361,0.1048,left
E,644.81,669.52,672.86,677.63,660.49,0.0448,9.6241,0.8182,-0.0458,0.0213,-0.0474,right
F,390.61,765.38,190.55,191.78,195.87,0.3809,9.4934,1.9532,-0.0041,0.1063,0.0196,right
Y,184.72,787.71,834.1,813.93,196.52,-0.4176,8.942,3.9521,0.0004,-0.079,0.0738,left
H,503.98,196.18,220.98,826.84,802.72,-5.094,4.8953,5.6006,-0.1113,-0.0804,0.0005,left
W,498.68,227.79,184.39,221.92,812.04,0.2393,9.5408,1.5864,-0.0585,-0.0085,-0.065,right
W,513.51,195.23,217.44,234.65,824.73,-0.2963,9.3099,1.2633,0.0552,0.0295,0.127,left
X,509.89,489.27,817.92,806.14,800.58,0.6503,9.3595,1.2382,-0.0718,-0.0422,-0.0067,right
L,194.45,209.38,755.9,822.72,814.69,0.5545,8.0716,5.0935,-0.0313,0.013,-0.01,right
U,495.73,185.78,186.21,818.71,793.01,-0.0493,9.8943,1.3135,0.0671,-0.0189,-0.1633,left
Z,482.25,205.77,785.44,792.07,794.02,-0.4613,8.9094,1.7194,2.5988,1.5139,1.0406,left
U,499.71,212.15,174.06,786.25,810.54,-0.0226,9.3584,0.8987,-0.034,0.0151,-0.0586,right
Y,191.56,786.41,815.46,791.12,212.25,-0.1811,8.6479,4.199,0.0173,-0.0255,-0.0553,left
D,487.86,209.06,801.48,798.39,805.99,0.2716,9.3929,1.361,0.0348,-0.0116,-0.0185,right
Z,523.23,177.5,794.49,767.75,798.08,-0.7949,8.8954,1.8249,2.5043,1.5272,0.8727,left
W,510.86,200.37,202.69,197.05,790.95,-0.5348,9.3756,1.8054,-0.0079,0.0213,0.0249,left
E,609.21,700.66,664.38,669.22,665.31,-0.0307,9.6325,0.6936,-0.0067,0.0285,-0.0836,right
L,212.72,198.37,795.54,790.65,795.36,0.6105,7.9526,4.964,-0.0297,-0.0153,-0.0002,right
U,480.56,203.17,198.16,762.42,786.26,0.3601,9.4956,1.0499,0.0326,0.0018,-0.0245,right
T,641.21,813.36,816.05,803.55,803.85,-0.139,9.4579,0.463,0.0577,0.0153,0.0546,left
I,824.11,809.1,800.37,793.24,200.35,-0.0768,9.5457,0.2928,0.0206,-0.0283,0.0131,left
L,184.79,189.39,787.23,818.32,803.44,-0.5065,8.0707,4.9381,0.0044,0.0472,-0.0028,left
W,491.05,212.16,201.09,193.47,778.9,-0.2029,9.4219,1.5875,-0.0301,0.0575,0.0594,left
U,486.04,199.86,217.42,807.24,806.85,-0.157,9.6912,0.8521,0.0169,0.07,-0.0812,left
C,501.55,498.21,477.66,513.44,496.98,-0.4897,8.6117,3.9949,-0.0754,-0.0101,0.0192,left
T,621.42,794.05,800.26,829.62,813.79,0.339,9.5205,0.513,0.0309,-0.0346,0.0022,right
O,554.66,575.85,565.5,543.48,574.28,-0.1851,9.0823,2.89,0.0474,-0.1154,0.0167,left
O,567.47,546.32,529.66,567.07,529.43,-0.1483,9.0541,2.9082,-0.0097,0.1049,0.0551,left
D,520.39,188.46,795.81,827.62,778.7,0.1931,9.5266,1.5262,-0.0467,0.0482,0.0444,right
P,498.62,209.68,503.35,775.05,815.8,-3.1943,4.9255,7.5063,-0.009,-0.0505,-0.0501,left
H,502.52,196.19,179.75,811.76,790.59,5.2216,5.0076,5.3362,0.0162,-0.0427,0.0793,right
I,793.0,779.57,798.82,816.5,195.18,-0.0043,9.4041,0.1789,0.0043,-0.0066,0.0094,right
G,502.34,190.25,814.3,792.43,798.72,-5.0564,4.7812,5.8779,-0.0085,-0.065,-0.0618,left
A,686.03,791.19,805.16,771.48,815.65,-0.2998,9.5834,0.6588,-0.0667,-0.004,0.0037,left
S,743.01,820.53,816.01,787.36,805.65,0.0098,9.8385,0.1164,0.0412,-0.0769,0.0082,left
D,506.34,197.0,791.91,775.13,788.89,-0.1119,9.4766,1.3982,0.0809,-0.0168,-0.0695,left
L,211.13,218.83,796.02,767.44,803.42,0.3901,7.9767,5.1748,0.0063,-0.0379,0.0299,right
L,185.75,185.75,819.49,808.69,810.25,0.4077,8.0977,5.0087,-0.0235,0.1076,-0.0723,right
F,379.73,760.75,198.18,211.42,198.9,-0.7038,9.4077,1.8684,-0.026,-0.0404,0.0395,left
P,503.31,200.37,506.56,792.44,784.25,3.1429,5.1615,7.5424,-0.0,-0.0111,0.0074,right
G,508.22,189.38,838.19,792.29,797.95,4.9072,5.1334,5.9235,-0.0327,0.0935,0.039,right
O,554.63,567.74,564.02,585.5,584.38,0.0531,8.9841,3.0322,-0.0836,-0.0039,0.0312,right
N,688.85,799.93,792.17,780.1,782.48,0.4655,9.3609,0.703,-0.0292,-0.0335,-0.024,right
B,743.5,190.77,213.33,199.31,217.12,0.0553,9.9782,0.4113,-0.0315,0.045,0.0525,right
Z,487.99,188.44,838.41,808.3,791.45,0.3919,8.8052,2.0668,2.5338,1.5301,0.9219,right
J,812.79,801.33,828.11,807.67,202.81,0.1274,9.6447,0.3751,3.008,0.547,1.9895,left
A,672.19,802.82,797.09,819.26,808.83,0.3554,9.4531,0.4967,-0.0533,0.0577,0.0411,left
Z,472.76,200.02,770.96,800.84,814.01,-0.3063,9.1533,2.0138,2.4512,1.5103,0.9382,left
C,494.69,516.45,518.8,495.54,502.77,0.2626,8.7159,3.9759,-0.0254,0.0267,0.035,right
Z,508.61,208.2,814.52,827.25,792.1,0.4109,9.0298,2.1039,2.4616,1.4628,1.0209,right
A,678.95,781.03,798.12,800.92,827.67,0.2415,9.8551,0.3931,0.0335,-0.057,0.0156,right
Q,483.62,208.92,819.5,825.66,777.31,-3.0363,5.3832,6.8862,-0.0313,0.0003,0.0392,left
V,474.75,182.94,163.94,819.71,779.97,-0.5423,9.3043,2.4156,-0.0018,-0.0476,0.0636,left
K,492.44,225.82,384.31,806.81,819.37,0.8347,9.1564,3.171,0.0065,-0.0369,0.0317,right
N,697.48,797.46,793.14,809.26,773.55,-0.2557,9.5047,0.443,-0.0588,0.031,0.0893,left
P,532.3,190.88,486.43,788.5,800.7,2.8666,4.8718,7.6069,-0.0511,-0.0002,-0.0945,right
E,601.18,690.09,683.22,679.51,677.61,0.1926,9.4957,1.0552,-0.0411,-0.0699,0.0142,left
N,689.67,811.06,793.34,806.3,822.72,0.3286,9.6436,0.3843,-0.0273,-0.0161,0.1043,right
H,491.41,145.59,207.45,792.85,773.01,4.9918,5.2697,5.259,-0.0922,-0.1048,-0.0105,right
Q,494.23,216.06,792.17,811.69,773.14,-2.6617,5.4366,7.1005,-0.0263,0.0544,0.0643,left
V,511.16,188.48,184.58,802.4,774.59,-0.6459,8.9575,2.4938,-0.0121,-0.0249,0.0204,left
H,518.53,195.41,226.51,807.13,820.27,-5.0505,4.9481,5.4255,0.1049,0.0417,-0.0055,left
N,706.01,789.25,779.15,813.91,812.71,-0.2649,9.4226,0.7603,-0.0071,-0.0478,-0.0904,left
H,505.74,174.09,193.18,794.0,776.32,5.2007,5.001,5.3548,-0.0312,-0.0037,-0.0143,right
W,509.21,199.49,188.19,202.23,814.81,0.3064,9.1282,1.5601,0.0331,-0.0847,0.0256,right
I,809.0,798.06,821.75,796.85,200.05,-0.0539,10.0065,0.2914,-0.0166,0.0595,0.0371,left
F,395.12,750.61,182.44,222.99,183.25,0.3606,9.1832,2.1179,0.0124,-0.0363,-0.048,right
G,507.42,179.03,764.25,809.79,813.11,5.1831,4.9716,6.0244,0.0078,0.0776,-0.0359,right
R,495.09,213.49,252.14,788.86,806.06,-0.2213,9.3532,1.7501,0.0272,-0.0099,-0.0126,left
I,794.32,801.38,791.47,776.54,181.78,0.2687,9.793,0.2813,0.0246,0.0017,0.0386,right
F,389.95,758.76,215.38,169.48,167.92,0.2721,9.2235,2.402,-0.0591,-0.0159,0.0666,right
E,635.8,669.45,627.26,665.22,654.48,0.0452,9.5291,0.8796,0.0113,-0.0805,-0.0142,right
B,771.88,217.85,201.55,188.34,204.76,0.1896,9.7726,0.1749,0.0481,-0.0403,-0.0266,right
S,726.46,758.95,820.39,799.41,813.43,0.0111,9.7162,0.2581,0.0324,0.0209,0.0633,left
H,481.59,215.23,213.25,787.54,789.94,-5.0264,4.8706,5.4905,-0.0383,0.0598,0.104,left
Y,208.73,803.36,768.59,805.8,193.25,-0.1618,8.8187,3.9134,0.0664,0.0402,-0.0272,left
M,809.44,791.2,817.09,803.26,809.91,-0.4955,9.5945,0.6877,0.0232,-0.0261,0.0508,left
V,516.79,204.7,175.42,774.41,820.42,-0.6582,8.8662,2.5717,-0.0075,0.0027,0.0585,left
I,813.84,780.9,791.35,802.36,215.03,0.2761,9.6786,0.4811,0.0165,0.0814,-0.0006,right
E,604.62,654.52,672.24,695.19,698.48,-0.0293,9.5772,0.9611,0.0759,-0.0147,0.0299,right
F,387.55,722.92,216.08,191.71,201.34,0.5159,9.1831,2.1469,-0.0241,-0.0555,-0.1151,right
Z,498.77,209.7,807.74,778.9,789.47,0.4738,9.0076,2.1023,2.4185,1.5857,0.9962,right
W,485.51,188.81,201.56,198.7,793.71,0.181,9.2728,1.5567,0.0421,-0.0639,0.0347,right
T,587.8,787.57,806.06,786.8,798.68,-0.16,9.7637,0.7024,0.0815,0.0735,-0.041,left
V,505.13,199.72,209.23,770.19,795.61,0.4981,9.2053,2.5025,0.0445,-0.066,-0.05,right
C,514.38,489.91,494.26,501.21,497.09,0.5975,8.6276,3.9262,0.0091,0.0778,-0.0528,right
V,491.06,181.25,226.16,792.18,832.41,-0.469,9.0889,2.1874,0.02,-0.0563,-0.0083,left
M,814.37,793.98,812.75,807.78,797.9,0.4799,9.2615,0.6036,0.0621,0.0972,0.1019,right
L,178.0,211.21,820.3,818.12,814.85,-0.5966,8.0458,4.7678,0.0745,-0.1109,0.024,left
Z,520.23,196.7,822.55,786.58,803.51,0.3688,8.8681,1.9816,2.4635,1.4473,1.0273,right
F,374.6,738.01,194.64,215.79,190.67,-0.5597,9.2035,2.0882,-0.0184,0.002,0.02,left
Y,200.45,789.77,784.27,814.86,196.0,0.2163,8.9875,4.1847,-0.0413,0.0798,0.0124,right
V,505.41,224.44,197.14,770.11,785.42,0.6062,8.9593,2.3409,0.0428,0.1028,-0.0387,right
J,773.09,802.81,778.17,794.52,234.64,-0.2489,9.5464,0.3384,2.9888,0.4349,2.0171,left
S,727.11,804.33,823.54,775.6,805.41,0.1847,9.6142,0.289,0.0018,-0.0066,0.0445,right
O,569.45,561.4,571.99,570.31,544.08,-0.2871,8.9238,3.0714,-0.0584,-0.0677,-0.0358,right
Z,511.96,209.0,807.47,786.27,799.98,-0.5015,8.9007,2.1593,2.3801,1.4961,0.9808,left
R,490.5,182.9,268.06,797.73,807.95,0.1103,9.2585,1.7363,-0.0204,-0.0686,-0.0546,right
N,670.99,825.88,795.26,810.16,789.68,0.3128,9.412,0.5533,0.0069,0.03,-0.0664,right
B,739.51,211.55,192.25,196.07,172.55,0.0438,9.6989,0.2602,0.0264,-0.0676,-0.0507,right
B,725.27,199.57,201.87,206.28,205.03,-0.013,9.9426,0.1625,0.0087,0.0609,0.0203,left
G,493.66,215.65,798.15,784.71,798.63,-4.9907,4.87,5.8225,0.0129,-0.0473,0.0012,left
R,514.25,210.23,270.89,796.28,816.22,-0.3059,9.4981,1.6466,-0.0529,-0.078,-0.0383,left
D,514.38,205.24,788.38,796.69,817.13,-0.2226,9.4357,1.5548,-0.0197,0.0534,-0.0087,left
O,567.38,538.32,568.41,581.23,555.57,-0.1851,9.0472,3.1604,-0.0248,-0.0031,-0.0071,right
B,756.24,217.07,216.54,209.74,191.7,-0.105,9.9623,0.3681,0.1619,-0.0559,0.0189,left
I,804.14,812.5,810.17,804.75,192.46,-0.1971,9.8272,0.2078,0.0782,0.0103,0.0307,left
P,480.53,212.73,516.94,798.94,793.98,3.0449,5.0348,7.0997,0.053,0.0103,-0.0002,right
K,508.97,205.8,378.82,773.85,786.6,1.1607,8.9266,2.9587,0.0101,-0.0078,-0.0229,right
K,488.72,200.83,401.43,817.59,758.29,0.8124,9.0936,2.8426,0.014,0.0244,0.0354,right
O,565.67,548.88,586.53,590.56,543.25,0.104,8.9748,3.2061,0.0602,-0.0501,-0.0021,right
G,484.04,198.29,812.48,821.1,763.33,-4.9799,4.681,5.8836,-0.0352,-0.0408,0.0063,left
N,693.83,788.04,802.0,785.29,794.47,-0.1926,9.5466,0.8339,-0.0149,-0.0913,0.0652,left
E,645.3,704.34,688.94,695.23,687.33,0.1023,9.8691,0.9155,-0.0856,0.0616,0.0593,right
N,698.31,815.66,769.94,808.68,795.94,0.1873,9.6911,0.7273,0.0707,0.0297,0.0108,right
D,523.33,192.86,780.08,793.03,820.95,0.1378,9.3985,1.4358,-0.0167,0.0114,-0.0206,right
D,506.8,198.88,793.48,790.15,813.55,-0.1063,9.9724,1.6731,0.0185,0.095,0.0137,right
L,212.04,165.05,785.9,814.78,789.84,0.518,7.88,5.2177,0.1146,-0.0027,0.0407,right
S,747.12,805.15,851.2,789.34,801.05,-0.2626,9.7858,0.3347,0.0541,-0.0651,-0.042,left
S,740.44,832.0,825.75,789.99,795.88,0.2243,9.6136,0.5226,0.0607,0.0222,0.0161,right
M,802.9,795.05,811.74,797.25,806.01,0.1519,9.5766,0.2402,0.0313,0.0442,-0.0397,right
S,759.06,833.55,812.33,805.05,809.62,-0.1239,9.5738,0.337,-0.028,0.0391,0.0072,right
B,765.02,174.54,170.46,215.54,211.71,0.0392,9.7732,0.2648,-0.029,-0.0013,-0.0963,left
Y,180.1,796.68,801.82,818.95,176.04,0.1681,8.8472,3.8798,0.0586,-0.1168,0.0332,right
Z,498.96,196.97,799.64,784.12,796.29,0.1103,8.7748,1.9597,2.5097,1.5211,0.9601,right
F,395.89,748.07,201.9,190.38,186.07,0.54,9.1774,1.9761,-0.0252,0.0075,0.0141,right
R,510.83,227.3,253.41,799.26,823.75,-0.2492,9.4393,2.2163,-0.0049,-0.0285,0.0559,left
U,487.97,192.95,194.12,805.37,817.47,0.0378,9.4533,1.3134,-0.0837,-0.047,0.0253,left
Q,514.53,189.05,811.37,805.28,809.96,-3.0706,5.5091,7.0592,-0.0325,-0.0222,0.0097,left
X,492.06,472.87,782.7,792.39,806.93,0.5791,9.1791,0.8511,0.0888,0.0352,-0.0756,right
L,167.25,178.88,802.77,773.7,802.94,-0.3577,8.2101,5.1177,0.002,0.0953,-0.0674,left
Z,519.56,210.5,812.2,793.61,784.25,0.6966,9.031,2.162,2.5834,1.5166,1.0211,right
S,724.83,794.43,790.72,808.01,785.02,-0.136,9.7406,0.2676,-0.0878,0.042,0.0122,left
H,483.48,206.77,180.57,788.07,825.91,-5.1388,4.9634,5.3354,0.0595,-0.0537,-0.0401,left
Z,487.83,212.6,790.43,802.54,810.39,0.3494,8.9955,1.7208,2.5774,1.5233,1.0148,right
H,489.85,238.46,178.17,797.57,806.79,-4.9129,5.0809,5.3258,0.0432,0.0154,0.0707,left
V,529.98,177.15,215.51,796.77,789.09,-0.6814,9.1775,2.8357,0.0005,-0.0131,0.0467,left
O,542.64,580.63,587.39,569.76,556.76,0.1864,8.9697,3.2608,0.068,-0.0343,0.0295,right
O,553.57,561.25,546.29,560.89,538.93,-0.0226,8.9988,3.1185,-0.0055,0.0409,-0.0432,right
K,509.77,205.82,366.88,796.38,783.64,-0.8725,8.8579,3.1681,0.0184,-0.0893,-0.0201,left
N,672.41,794.08,794.66,821.88,803.53,-0.34,9.5067,0.7155,0.0149,0.0297,0.0386,left
L,192.4,198.3,810.75,813.8,810.79,0.4138,7.7993,5.0542,0.0944,-0.0528,0.0844,right
B,730.27,218.24,223.95,239.08,199.15,-0.1262,9.6546,0.4411,-0.0769,-0.0158,-0.0283,right
E,594.99,676.31,688.08,689.32,657.67,-0.0501,9.3486,0.8128,-0.0261,0.0811,0.02,right
V,508.88,219.51,201.27,801.26,809.17,-0.5087,9.0646,2.6013,-0.0651,0.0467,-0.0584,left
Q,541.06,208.39,787.05,809.04,795.01,3.1247,5.287,6.8661,0.0045,-0.0155,-0.0629,right
Y,234.13,788.06,806.4,807.23,199.67,0.2777,8.8191,3.9952,-0.0047,0.0108,-0.0005,right
C,486.5,507.03,488.17,485.6,503.6,-0.2487,8.7971,4.161,0.0287,-0.0047,-0.0308,left
N,681.24,779.81,781.07,822.36,812.28,0.2951,9.4772,0.6977,-0.0215,-0.0947,-0.0586,right
U,456.84,223.17,214.93,793.17,807.18,0.0999,9.5378,0.9832,-0.0373,0.0772,0.0144,right
A,709.3,794.62,823.9,801.73,792.26,-0.2693,9.6773,0.7135,0.0408,0.0344,-0.1188,left
W,514.31,187.41,204.5,212.44,790.83,-0.3733,9.2203,1.3538,-0.0056,-0.0017,-0.0062,left
K,483.6,162.57,387.98,767.86,807.98,-0.7476,9.0423,3.0701,0.0145,0.0733,-0.0486,left
K,477.79,178.78,391.01,801.39,788.44,-0.8369,8.9584,3.1105,-0.0017,0.034,-0.0222,left
O,572.89,544.37,558.91,555.82,602.19,-0.1206,8.8746,3.1251,0.0337,-0.0106,0.0253,left
T,630.85,809.62,784.61,793.02,792.57,-0.2197,9.415,-0.0038,-0.0356,-0.0177,0.0638,left
L,205.24,192.81,779.21,822.41,815.98,0.8146,8.1166,4.9372,-0.0283,0.1022,0.0148,right
T,634.07,805.53,797.09,791.51,784.51,0.2425,9.604,0.6076,0.0875,-0.1308,0.0272,right
J,808.46,791.59,785.6,800.07,196.84,0.2254,9.7797,0.1477,3.0892,0.3945,2.0049,left
A,693.33,788.6,799.61,804.06,797.36,-0.2875,9.4893,0.63,0.0123,0.0951,0.1023,left
P,478.35,189.25,497.13,803.71,787.6,-3.21,4.9881,7.5355,0.0031,0.0552,-0.0145,left
M,793.11,798.44,804.97,790.43,786.48,-0.0097,9.8752,0.559,0.0064,0.0391,0.0287,left
D,506.93,228.74,796.66,826.25,820.02,0.0066,9.5211,1.3092,0.026,0.0125,-0.0676,right
C,507.42,497.68,529.8,478.91,496.29,0.1309,8.382,3.8815,-0.024,0.0391,-0.0572,right
V,507.16,216.83,215.3,835.05,792.74,-0.5307,8.8874,2.6008,0.1191,-0.0255,-0.0464,left
L,188.91,195.36,815.35,790.71,832.58,0.4189,7.8366,4.8916,-0.0319,-0.0162,-0.0224,right
E,589.48,706.98,680.86,728.41,687.68,0.2322,9.7845,0.9237,0.0128,0.048,0.1138,right
E,629.46,661.86,694.23,709.0,655.1,-0.1805,9.3542,0.7508,0.0612,0.0406,0.0508,left
G,521.39,200.89,798.64,809.2,781.12,5.0458,5.086,5.949,0.0204,-0.0359,-0.0929,right
R,495.37,184.39,242.48,814.67,809.4,-0.1093,9.1264,1.9162,0.038,-0.0211,0.0346,left
S,731.71,816.15,804.06,799.59,815.16,-0.1824,9.6001,0.079,0.0294,0.0129,-0.0942,left
N,686.46,806.15,779.96,790.51,752.39,0.4677,9.418,0.7837,0.0807,0.036,0.0204,right
C,506.22,488.87,488.73,459.84,501.11,0.5089,8.4197,4.0293,-0.0427,-0.0246,0.0143,right
K,499.31,203.25,364.49,783.16,824.41,1.0526,9.0563,2.8652,-0.075,0.0539,0.0711,right
